INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,LATITUDE,LONGITUDE
34270247,09/08/2007,0:58:00,BROOKLYN,81,0,,TRUE,,,,25-44,M,BLACK,1005312,190540,40.68964821,-73.92405412
24224968,09/08/2006,15:15:00,BROOKLYN,75,0,,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK,1016380,176185,40.65021371,-73.88421255
24224968,09/08/2006,15:15:00,BROOKLYN,75,0,,FALSE,UNKNOWN,M,BLACK,25-44,F,BLACK,1016380,176185,40.65021371,-73.88421255
169103886,09/07/2017,19:07:00,BROOKLYN,69,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,<18,M,BLACK,1013655,177161,40.65290209,-73.89402854
156521267,09/07/2016,23:17:00,BROOKLYN,79,0,,FALSE,25-44,M,BLACK,45-64,M,BLACK,1001326,186947,40.67979484,-73.93843631
156521519,09/07/2016,22:48:00,BROOKLYN,67,0,,FALSE,,,,25-44,M,BLACK,1005435,180852,40.66305655,-73.92364105
156521266,09/07/2016,19:40:00,BROOKLYN,70,0,,TRUE,25-44,M,BLACK,25-44,M,BLACK,994576,177427,40.653675,-73.96278707
145938766,09/07/2015,4:25:00,BROOKLYN,71,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK,996122,181017,40.66352682,-73.95720905
145938766,09/07/2015,4:25:00,BROOKLYN,71,0,,FALSE,18-24,M,BLACK,45-64,M,WHITE,996122,181017,40.66352682,-73.95720905
145939402,09/07/2015,4:19:00,BROOKLYN,67,0,,FALSE,,,,25-44,M,BLACK,997815,176684,40.65163126,-73.95111538
145942389,09/07/2015,3:42:00,BROOKLYN,71,0,,TRUE,18-24,M,BLACK,25-44,M,BLACK,996148,181562,40.66502269,-73.95711437
145942389,09/07/2015,3:42:00,BROOKLYN,71,0,,TRUE,25-44,M,BLACK,25-44,M,BLACK,996148,181562,40.66502269,-73.95711437
138588533,09/07/2014,21:00:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,UNKNOWN,993758,196212,40.70523649,-73.9657086
92489485,09/07/2013,3:08:00,BROOKLYN,67,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK,1003469,171347,40.63697188,-73.93075449
92489485,09/07/2013,3:08:00,BROOKLYN,67,0,,FALSE,18-24,M,BLACK,25-44,M,BLACK,1003469,171347,40.63697188,-73.93075449
92500637,09/07/2013,21:19:00,BROOKLYN,70,0,,FALSE,25-44,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,993277,176008,40.64978157,-73.9674705
92500635,09/07/2013,14:25:00,BROOKLYN,79,0,STORE UNCLASSIFIED,FALSE,,,,25-44,M,BLACK,999414,193607,40.69807849,-73.94531477
86652655,09/07/2012,22:00:00,BROOKLYN,73,0,,FALSE,,,,<18,M,WHITE HISPANIC,1009004,180575,40.66228699,-73.91077777
86628971,09/07/2012,14:52:00,BROOKLYN,79,0,,TRUE,,,,25-44,M,BLACK,996866,187543,40.6814382,-73.9545151
86664849,09/07/2012,0:25:00,BROOKLYN,81,0,,FALSE,,,,25-44,M,BLACK,1001952,187437,40.68113854,-73.93617807
80626661,09/07/2011,9:59:00,BROOKLYN,81,0,,FALSE,18-24,M,BLACK,25-44,M,BLACK,1006343,186591,40.6788066,-73.92034939
80627757,09/07/2011,13:30:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,45-64,M,BLACK,997689,184653,40.67350459,-73.95155358
80627757,09/07/2011,13:30:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,45-64,M,BLACK,997689,184653,40.67350459,-73.95155358
65464026,09/07/2009,5:47:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,18-24,M,BLACK,1009534,179225,40.65858004,-73.90887249
65464026,09/07/2009,5:47:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,TRUE,18-24,M,BLACK,18-24,M,BLACK,1009534,179225,40.65858004,-73.90887249
65464026,09/07/2009,5:47:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,25-44,M,BLACK,1009534,179225,40.65858004,-73.90887249
65464026,09/07/2009,5:47:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,TRUE,18-24,M,BLACK,25-44,M,BLACK,1009534,179225,40.65858004,-73.90887249
65463806,09/07/2009,3:09:00,BROOKLYN,67,0,,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK,998202,176883,40.65217687,-73.94972028
65463805,09/07/2009,2:45:00,BROOKLYN,67,0,,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,996764,175102,40.64729056,-73.95490594
65539762,09/07/2009,23:50:00,BROOKLYN,83,0,,FALSE,18-24,M,BLACK,18-24,F,BLACK,1008131,189610,40.68708842,-73.91389241
